x,i1,i2,o1,o2
-29.91,0,0,0,0
-29.85,0,0,0,0
-29.79,0,0,0,0
-29.73,0,0,0,0
-29.67,0,0,0,0
-29.61,0,0,0,0
-29.55,0,0,0,0
-29.49,0,0,0,0
-29.43,0,0,0,0
-29.37,0,0,0,0
-29.31,0,0,0,0
-29.25,0,0,0,0
-29.19,0,0,0,0
-29.13,0,0,0,0
-29.07,0,0,0,0
-29.01,0,0,0,0
-28.95,0,0,0,0
-28.89,0,0,0,0
-28.83,0,0,0,0
-28.77,0,0,0,0
-28.71,0,0,0,0
-28.65,0,0,0,0
-28.59,0,0,0,0
-28.53,0,0,0,0
-28.47,0,0,0,0
-28.41,0,0,0,0
-28.35,0,0,0,0
-28.29,0,0,0,0
-28.23,0,0,0,0
-28.17,0,0,0,0
-28.11,0,0,0,0
-28.05,0,0,0,0
-27.99,0,0,0,0
-27.93,0,0,0,0
-27.87,0,0,0,0
-27.81,0,0,0,0
-27.75,0,0,0,0
-27.69,0,0,0,0
-27.63,0,0,0,0
-27.57,0,0,0,0
-27.51,0,0,0,0
-27.45,0,0,0,0
-27.39,0,0,0,0
-27.33,0,0,0,0
-27.27,0,0,0,0
-27.21,0,0,0,0
-27.15,0,0,0,0
-27.09,0,0,0,0
-27.03,0,0,0,0
-26.97,0,0,0,0
-26.91,0,0,0,0
-26.85,0,0,0,0
-26.79,0,0,0,0
-26.73,0,0,0,0
-26.67,0,0,0,0
-26.61,0,0,0,0
-26.55,0,0,0,0
-26.49,0,0,0,0
-26.43,0,0,0,0
-26.37,0,0,0,0
-26.31,0,0,0,0
-26.25,0,0,0,0
-26.19,0,0,0,0
-26.13,0,0,0,0
-26.07,0,0,0,0
-26.01,0,0,0,0
-25.95,0,0,0,0
-25.89,0,0,0,0
-25.83,0,0,0,0
-25.77,0,0,0,0
-25.71,0,0,0,0
-25.65,0,0,0,0
-25.59,0,0,0,0
-25.53,0,0,0,0
-25.47,0,0,0,0
-25.41,0,0,0,0
-25.35,0,0,0,0
-25.29,0,0,0,0
-25.23,0,0,0,0
